Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,MAU_Global,MAU_US_Canada,MAU_Europe,MAU_RestOfWorld,ARPU_Global,ARPU_US_Canada,ARPU_Europe,ARPU_RestOfWorld
Q1 2019,201.9,115.0,57.0,-43.2,-21.4,-38.4,-41.4,-20.5,-0.33,,,,,1680.0,127.3,291,83,93,115,3.31,8.61,1.41,0.25
Q2 2019,261.2,171.9,65.8,44.1,16.9,51.7,47.0,18.0,0.00,,,,,1680.0,542.6,300,85,95,120,3.48,9.09,1.46,0.26
Q3 2019,279.7,190.5,68.1,-22.4,-8.0,-13.4,-18.9,-6.8,-0.15,,,,,1680.0,542.6,300,85,96,119,3.82,9.21,1.60,0.26
Q4 2019,399.9,306.4,76.6,-41.4,-10.3,-31.9,-38.4,-9.6,-0.30,,,1053.9,0.0,1713.3,542.6,300,85,95,120,4.39,10.25,1.66,0.29
FY2019,1142.8,783.9,68.6,-62.9,-5.5,16.7,-151.3,-13.2,-0.36,0.7,-33.1,1053.9,0.0,1713.3,420.5,300,85,95,120,3.81,9.04,1.53,0.27
Q1 2020,271.9,187.1,68.8,-44.8,-16.5,-38.4,-141.1,-51.9,-1.12,,,,,1880.0,542.6,335,88,104,143,3.28,9.39,1.52,0.24
Q2 2020,272.5,202.3,74.2,19.8,7.3,31.6,5.7,2.1,0.01,,,,,1880.0,542.6,376,93,113,170,2.92,8.53,1.42,0.19
Q3 2020,442.6,311.0,70.3,14.3,3.2,22.5,-94.2,-21.3,-0.16,,,,,1950.0,619.8,442,98,125,219,4.08,11.13,1.64,0.24
Q4 2020,705.7,453.8,64.3,-68.5,-9.7,119.6,102.7,14.6,0.16,,,1806.2,0.0,2127.6,632.3,459,100,129,230,4.13,11.88,1.72,0.26
FY2020,1692.7,1154.2,68.2,-79.2,-4.7,135.3,-128.3,-7.6,-0.23,466.1,438.1,1806.2,0.0,2127.6,632.3,459,100,129,230,3.83,10.74,1.60,0.23
Q1 2021,485.2,347.7,71.7,6.2,1.3,21.7,-21.7,-4.5,-0.03,,,,,2400.0,650.0,478,99,132,247,4.14,12.44,1.80,0.24
Q2 2021,613.0,446.7,72.9,27.3,4.5,52.7,-21.6,-3.5,-0.03,,,,,2400.0,675.0,454,92,131,231,5.46,16.43,2.33,0.33
Q3 2021,632.9,458.7,72.5,-28.6,-4.5,-12.1,-65.2,-10.3,-0.10,,,,,2450.0,688.8,444,90,130,224,5.77,17.02,2.46,0.35
Q4 2021,846.9,624.8,73.8,-93.6,-11.1,139.6,-67.9,-8.0,-0.10,,,2535.9,0.0,2579.6,688.8,431,91,127,213,8.01,23.05,3.21,0.50
FY2021,2578.0,1877.9,72.8,-88.5,-3.4,201.9,-176.4,-6.8,-0.26,727.5,687.1,2535.9,0.0,2579.6,688.8,431,91,127,213,5.98,17.96,3.24,0.36
Q1 2022,574.9,405.8,70.6,-77.9,-13.5,-62.1,-5.4,-0.9,-0.01,,,,,2350.0,675.0,433,89,127,217,5.45,16.73,2.83,0.33
Q2 2022,666.0,471.5,70.8,-50.3,-7.6,-33.9,-43.2,-6.5,-0.07,,,,,2350.0,675.0,433,88,127,218,6.25,19.22,3.17,0.38
Q3 2022,684.6,487.3,71.2,26.4,3.9,43.5,-65.2,-9.5,-0.10,,,,,2320.0,675.0,445,89,129,227,6.21,19.49,3.22,0.38
Q4 2022,877.1,759.2,86.6,0.0,0.0,302.2,118.4,13.5,0.18,,,2593.6,0.0,2287.8,665.7,450,89,128,233,7.95,25.14,3.77,0.51
FY2022,2802.6,2124.0,75.8,-101.7,-3.6,250.1,-96.0,-3.4,-0.14,469.2,440.2,2593.6,0.0,2287.8,665.7,450,89,128,233,6.23,20.69,3.40,0.42
Q1 2023,642.5,482.6,75.1,-118.0,-18.4,-99.6,-21.7,-3.4,-0.03,,,,,2380.0,675.0,463,92,133,238,5.66,17.77,3.24,0.34
Q2 2023,708.0,527.7,74.5,-79.7,-11.3,-63.2,-34.8,-4.9,-0.05,,,,,2380.0,675.0,465,93,136,236,6.21,19.34,3.44,0.38
Q3 2023,763.2,578.8,75.8,72.0,9.4,90.5,30.9,4.0,0.05,,,,,2420.0,675.0,482,94,139,249,6.47,20.47,3.60,0.40
Q4 2023,941.4,777.2,82.6,53.6,5.7,330.5,-10.0,-1.1,-0.01,,,3090.7,0.0,2511.1,674.6,498,94,142,262,7.84,26.15,4.70,0.48
FY2023,3055.1,2366.3,77.5,-125.7,-4.1,357.2,-35.6,-1.2,-0.05,613.0,605.0,3090.7,0.0,2511.1,674.6,498,94,142,262,6.43,25.64,4.01,0.50
Q1 2024,740.0,562.3,76.0,13.5,1.8,29.2,-2.8,-0.4,0.00,,,,,2470.0,686.0,518,95,146,277,5.88,19.55,3.31,0.34
Q2 2024,853.7,658.0,77.1,47.7,5.6,67.4,18.8,2.2,0.03,,,,,2470.0,686.0,522,97,150,275,6.73,22.07,3.70,0.36
Q3 2024,898.4,694.2,77.3,64.6,7.2,91.4,30.6,3.4,0.04,,,,,2480.0,690.0,537,99,139,300,7.31,24.12,4.05,0.42
Q4 2024,1154.1,981.3,85.0,54.0,4.7,844.2,1815.3,157.3,2.60,,,4751.2,0.0,2512.9,698.4,553,98,158,297,8.93,31.44,5.60,0.52
FY2024,3646.2,2895.8,79.4,179.8,4.9,1032.3,1862.1,51.1,2.67,964.6,940.0,4751.2,0.0,2512.9,698.4,553,98,158,297,6.94,29.15,4.24,0.59
Q1 2025,901.6,706.4,78.3,92.4,10.2,115.4,64.2,7.1,0.09,,,4688.5,0.0,2615.2,701.0,570,102,148,320,6.54,27.36,3.91,0.45
Q2 2025,951.8,746.0,78.4,118.1,12.4,146.8,93.0,9.8,0.14,,,4812.0,0.0,2659.4,701.0,578,102,146,329,7.29,30.66,4.32,0.60
Q3 2025,1049.2,825.0,78.6,154.4,14.7,187.8,131.3,12.5,0.19,,,5220.0,0.0,2720.0,703.0,600,103,150,347,7.64,31.96,5.28,0.68
